index,customer_id,age,gender,annual_income,purchase_amount,purchase_date
7898,1617,35.0,Female,70183.0,610.24,2023-08-07 19:16:58+03:00
1557,326,70.0,Female,31519.0,694.44,2023-08-07 19:16:58+03:00
4827,1004,18.0,Female,123620.0,367.29,2023-08-07 19:16:58+03:00
727,156,58.0,Female,86283.0,941.72,2023-08-07 19:16:58+03:00
639,141,26.0,Male,103265.0,963.81,2023-08-07 19:16:58+03:00
1818,378,34.0,Female,63302.0,31.02,2023-08-07 19:16:58+03:00
260,63,66.0,Female,127963.0,993.13,2023-08-07 19:16:58+03:00
4945,1027,78.0,Female,40121.0,451.58,2023-08-07 19:16:58+03:00
3783,778,33.0,Male,107824.0,168.36,2023-08-08 19:16:58+03:00
9250,1887,32.0,Female,87339.0,156.14,2023-08-08 19:16:58+03:00
3953,814,39.0,Male,123644.0,311.63,2023-08-08 19:16:58+03:00
2276,465,64.0,Male,92926.0,308.33,2023-08-08 19:16:58+03:00
1174,242,26.0,Female,91464.0,502.94,2023-08-08 19:16:58+03:00
3473,717,32.0,Female,49451.0,680.39,2023-08-08 19:16:58+03:00
8291,1694,23.0,Male,74366.0,444.42,2023-08-08 19:16:58+03:00
3934,811,18.0,Female,83142.0,569.06,2023-08-08 19:16:58+03:00
7004,1440,73.0,Female,40910.0,794.67,2023-08-08 19:16:58+03:00
9071,1851,23.0,Male,75314.0,900.41,2023-08-08 19:16:58+03:00
1970,410,29.0,Male,65934.0,372.05,2023-08-08 19:16:58+03:00
1066,219,25.0,Female,47083.0,37.57,2023-08-08 19:16:58+03:00
4121,851,24.0,Female,54529.0,941.16,2023-08-08 19:16:58+03:00
8613,1757,18.0,Female,78041.0,360.35,2023-08-08 19:16:58+03:00
9601,1962,35.0,Female,95218.0,959.28,2023-08-08 19:16:58+03:00
5701,1181,68.0,Male,60024.0,435.99,2023-08-08 19:16:58+03:00
1197,246,30.0,Female,34984.0,839.79,2023-08-08 19:16:58+03:00
5742,1190,20.0,Male,44025.0,770.65,2023-08-08 19:16:58+03:00
8226,1677,20.0,Male,56009.0,791.45,2023-08-08 19:16:58+03:00
4126,852,78.0,Female,42106.0,666.16,2023-08-08 19:16:58+03:00
5985,1238,24.0,Male,56541.0,737.81,2023-08-08 19:16:58+03:00
4358,899,68.0,Female,53025.0,985.75,2023-08-08 19:16:58+03:00
1982,412,24.0,Female,66570.0,351.4,2023-08-08 19:16:58+03:00
6269,1296,54.0,Female,108027.0,1140.38,2023-08-08 19:16:58+03:00
7231,1482,44.0,Female,126974.0,1130.72,2023-08-08 19:16:58+03:00
5130,1062,27.0,Female,44233.0,584.96,2023-08-08 19:16:58+03:00
6299,1303,39.0,Female,114790.0,1289.7,2023-08-08 19:16:58+03:00
9657,1971,26.0,Female,108968.0,1099.1,2023-08-08 19:16:58+03:00
6618,1363,23.0,Female,109731.0,195.53,2023-08-08 19:16:58+03:00
1821,378,34.0,Female,63302.0,308.58,2023-08-08 19:16:58+03:00
1993,414,18.0,Male,56465.0,936.45,2023-08-08 19:16:58+03:00
5556,1150,63.0,Female,88467.0,1064.53,2023-08-08 19:16:58+03:00
972,205,29.0,Female,48628.0,200.34,2023-08-09 19:16:58+03:00
7504,1544,45.0,Male,128773.0,596.63,2023-08-09 19:16:58+03:00
7970,1631,40.0,Male,61209.0,466.52,2023-08-09 19:16:58+03:00
2072,428,24.0,Female,114345.0,704.47,2023-08-09 19:16:58+03:00
1790,372,24.0,Female,50959.0,949.52,2023-08-09 19:16:58+03:00
304,70,54.0,Male,101952.0,774.43,2023-08-09 19:16:58+03:00
7125,1460,33.0,Female,87953.0,473.97,2023-08-09 19:16:58+03:00
3508,724,25.0,Male,112703.0,985.23,2023-08-09 19:16:58+03:00
3293,677,22.0,Male,96652.0,908.21,2023-08-09 19:16:58+03:00
4863,1009,34.0,Male,70204.0,950.41,2023-08-09 19:16:58+03:00
9411,1925,33.0,Male,75461.0,25.32,2023-08-09 19:16:58+03:00
374,85,29.0,Female,111114.0,978.58,2023-08-09 19:16:58+03:00
8482,1730,53.0,Female,113438.0,1277.9,2023-08-09 19:16:58+03:00
82,18,27.0,Female,113575.0,780.49,2023-08-09 19:16:58+03:00
4257,876,32.0,Male,86838.0,432.99,2023-08-09 19:16:58+03:00
2994,609,40.0,Male,107174.0,269.98,2023-08-09 19:16:58+03:00
4117,850,30.0,Female,108470.0,830.71,2023-08-09 19:16:58+03:00
7685,1577,24.0,Male,62813.0,165.58,2023-08-09 19:16:58+03:00
8235,1683,27.0,Male,99159.0,745.44,2023-08-09 19:16:58+03:00
6741,1392,33.0,Male,64793.0,742.67,2023-08-09 19:16:58+03:00
2991,607,35.0,Male,111767.0,1000.48,2023-08-09 19:16:58+03:00
9723,1987,18.0,Female,67429.0,630.69,2023-08-09 19:16:58+03:00
1967,410,29.0,Male,65934.0,435.28,2023-08-09 19:16:58+03:00
9355,1911,22.0,Female,100310.0,1189.34,2023-08-09 19:16:58+03:00
4758,986,35.0,Female,39001.0,316.6,2023-08-09 19:16:58+03:00
3961,816,19.0,Female,35158.0,567.54,2023-08-09 19:16:58+03:00
6603,1361,37.0,Female,71401.0,778.07,2023-08-09 19:16:58+03:00
8054,1647,80.0,Female,51219.0,810.69,2023-08-09 19:16:58+03:00
6185,1276,75.0,Male,46138.0,57.88,2023-08-09 19:16:58+03:00
6325,1307,25.0,Female,120039.0,834.06,2023-08-09 19:16:58+03:00
5347,1111,26.0,Female,108176.0,858.89,2023-08-09 19:16:58+03:00
5361,1114,23.0,Male,41173.0,421.94,2023-08-09 19:16:58+03:00
7850,1607,40.0,Male,108925.0,780.6,2023-08-09 19:16:58+03:00
1558,326,70.0,Female,31519.0,335.81,2023-08-10 19:16:58+03:00
9392,1922,39.0,Male,66162.0,488.91,2023-08-10 19:16:58+03:00
7172,1468,33.0,Female,121537.0,907.26,2023-08-10 19:16:58+03:00
4488,932,39.0,Male,117214.0,1246.86,2023-08-10 19:16:58+03:00
900,189,35.0,Female,103540.0,573.2,2023-08-10 19:16:58+03:00
8351,1703,26.0,Female,38647.0,389.83,2023-08-10 19:16:58+03:00
8238,1683,27.0,Male,99159.0,100.59,2023-08-10 19:16:58+03:00
5843,1208,18.0,Male,80486.0,832.23,2023-08-10 19:16:58+03:00
3315,684,20.0,Male,120877.0,972.13,2023-08-10 19:16:58+03:00
3321,686,73.0,Female,111777.0,726.45,2023-08-10 19:16:58+03:00
5041,1046,29.0,Female,116853.0,541.43,2023-08-10 19:16:58+03:00
4111,849,64.0,Male,117133.0,800.43,2023-08-10 19:16:58+03:00
6542,1349,18.0,Female,62112.0,340.68,2023-08-10 19:16:58+03:00
2191,451,39.0,Female,75309.0,886.34,2023-08-10 19:16:58+03:00
8011,1638,36.0,Female,110465.0,515.17,2023-08-10 19:16:58+03:00
6822,1406,29.0,Female,95331.0,231.41,2023-08-10 19:16:58+03:00
8897,1814,66.0,Male,65201.0,425.63,2023-08-10 19:16:58+03:00
4395,911,71.0,Male,89957.0,1176.89,2023-08-10 19:16:58+03:00
608,134,43.0,Female,110260.0,714.93,2023-08-10 19:16:58+03:00
1481,308,29.0,Male,71310.0,1105.65,2023-08-10 19:16:58+03:00
5899,1219,30.0,Female,102910.0,307.47,2023-08-10 19:16:58+03:00
6916,1425,23.0,Male,64735.0,257.75,2023-08-11 19:16:58+03:00
3476,718,28.0,Male,81796.0,468.96,2023-08-11 19:16:58+03:00
8087,1652,24.0,Male,37529.0,334.83,2023-08-11 19:16:58+03:00
4304,887,23.0,Female,46128.0,54.71,2023-08-11 19:16:58+03:00
7626,1567,27.0,Female,93046.0,629.92,2023-08-11 19:16:58+03:00
3274,674,32.0,Male,72962.0,299.59,2023-08-11 19:16:58+03:00
6409,1322,30.0,Female,76206.0,742.2,2023-08-11 19:16:58+03:00
5707,1182,19.0,Female,59325.0,488.65,2023-08-11 19:16:58+03:00
7267,1492,35.0,Male,108217.0,185.34,2023-08-11 19:16:58+03:00
3919,807,18.0,Female,91959.0,65.44,2023-08-11 19:16:58+03:00
4364,899,68.0,Female,53025.0,663.62,2023-08-11 19:16:58+03:00
2765,568,52.0,Female,70026.0,149.27,2023-08-11 19:16:58+03:00
7266,1492,35.0,Male,108217.0,1075.1,2023-08-11 19:16:58+03:00
1843,382,23.0,Female,93083.0,129.01,2023-08-11 19:16:58+03:00
1039,214,23.0,Female,37082.0,192.13,2023-08-11 19:16:58+03:00
9617,1964,27.0,Female,105892.0,88.66,2023-08-11 19:16:58+03:00
3897,802,75.0,Female,38203.0,425.92,2023-08-11 19:16:58+03:00
6369,1315,20.0,Female,62915.0,873.72,2023-08-11 19:16:58+03:00
5481,1140,24.0,Female,61403.0,442.44,2023-08-11 19:16:58+03:00
7895,1616,40.0,Female,78427.0,693.65,2023-08-11 19:16:58+03:00
3576,740,34.0,Female,101435.0,929.59,2023-08-11 19:16:58+03:00
5652,1169,40.0,Female,87617.0,935.83,2023-08-11 19:16:58+03:00
5019,1043,78.0,Female,62104.0,374.23,2023-08-11 19:16:58+03:00
2435,496,35.0,Female,44204.0,197.62,2023-08-11 19:16:58+03:00
2375,486,30.0,Male,95913.0,278.46,2023-08-11 19:16:58+03:00
6418,1322,30.0,Female,76206.0,947.94,2023-08-11 19:16:58+03:00
4927,1023,35.0,Female,71218.0,880.49,2023-08-11 19:16:58+03:00
866,183,35.0,Female,93221.0,452.47,2023-08-11 19:16:58+03:00
371,85,29.0,Female,111114.0,581.16,2023-08-11 19:16:58+03:00
4926,1023,35.0,Female,71218.0,1000.4,2023-08-11 19:16:58+03:00
5814,1203,30.0,Female,63786.0,129.43,2023-08-12 19:16:58+03:00
7493,1542,23.0,Female,41400.0,211.23,2023-08-12 19:16:58+03:00
3869,795,70.0,Female,123783.0,353.84,2023-08-12 19:16:58+03:00
7522,1547,40.0,Female,110228.0,257.55,2023-08-12 19:16:58+03:00
655,144,44.0,Female,44491.0,900.14,2023-08-12 19:16:58+03:00
8922,1822,32.0,Female,106574.0,801.22,2023-08-12 19:16:58+03:00
9263,1890,29.0,Male,103728.0,446.83,2023-08-12 19:16:58+03:00
8137,1662,39.0,Female,123349.0,1069.56,2023-08-12 19:16:58+03:00
7824,1604,69.0,Female,39078.0,365.92,2023-08-12 19:16:58+03:00
5083,1055,69.0,Female,97011.0,466.83,2023-08-12 19:16:58+03:00
8651,1766,19.0,Female,115354.0,1238.05,2023-08-12 19:16:58+03:00
2350,480,30.0,Female,90847.0,861.07,2023-08-12 19:16:58+03:00
8445,1721,19.0,Female,63777.0,699.78,2023-08-12 19:16:58+03:00
194,47,28.0,Female,99032.0,120.26,2023-08-12 19:16:58+03:00
7026,1446,19.0,Female,32187.0,203.86,2023-08-12 19:16:58+03:00
1350,280,49.0,Female,95127.0,459.64,2023-08-12 19:16:58+03:00
2828,579,38.0,Female,122063.0,1352.34,2023-08-12 19:16:58+03:00
2331,475,33.0,Male,107952.0,680.19,2023-08-12 19:16:58+03:00
9202,1877,40.0,Female,102997.0,74.81,2023-08-12 19:16:58+03:00
2698,556,37.0,Male,117198.0,722.2,2023-08-12 19:16:58+03:00
3560,735,56.0,Female,84161.0,36.69,2023-08-12 19:16:58+03:00
615,136,28.0,Female,77927.0,363.4,2023-08-12 19:16:58+03:00
1267,258,24.0,Female,63094.0,442.77,2023-08-12 19:16:58+03:00
4998,1037,22.0,Female,72687.0,574.49,2023-08-12 19:16:58+03:00
526,116,0.0,Female,72454.0,535.45,2023-08-12 19:16:58+03:00
6831,1407,29.0,Female,83906.0,697.13,2023-08-12 19:16:58+03:00
1225,251,23.0,Female,56408.0,322.4,2023-08-12 19:16:58+03:00
7960,1629,22.0,Female,36596.0,257.31,2023-08-12 19:16:58+03:00
651,143,33.0,Male,49537.0,583.6,2023-08-13 19:16:58+03:00
2886,589,40.0,Female,127091.0,1288.27,2023-08-13 19:16:58+03:00
4917,1021,23.0,Male,68536.0,539.32,2023-08-13 19:16:58+03:00
5778,1195,37.0,Male,123900.0,1327.03,2023-08-13 19:16:58+03:00
6605,1361,37.0,Female,71401.0,3.79,2023-08-13 19:16:58+03:00
7354,1512,36.0,Female,122173.0,111.79,2023-08-13 19:16:58+03:00
5273,1095,27.0,Male,47180.0,763.7,2023-08-13 19:16:58+03:00
2659,546,60.0,Female,70253.0,564.09,2023-08-13 19:16:58+03:00
9602,1962,35.0,Female,95218.0,955.36,2023-08-13 19:16:58+03:00
7187,1471,66.0,Male,104421.0,78.57,2023-08-13 19:16:58+03:00
996,208,50.0,Male,128577.0,278.4,2023-08-13 19:16:58+03:00
7058,1450,32.0,Female,123748.0,3.8,2023-08-13 19:16:58+03:00
8171,1666,24.0,Female,58568.0,915.71,2023-08-13 19:16:58+03:00
1169,241,34.0,Female,51082.0,747.55,2023-08-13 19:16:58+03:00
9099,1857,30.0,Female,87193.0,855.17,2023-08-13 19:16:58+03:00
5031,1045,23.0,Female,39032.0,455.98,2023-08-13 19:16:58+03:00
1273,258,24.0,Female,63094.0,611.55,2023-08-13 19:16:58+03:00
2120,440,24.0,Female,54992.0,760.26,2023-08-13 19:16:58+03:00
9555,1953,53.0,Male,112596.0,626.05,2023-08-13 19:16:58+03:00
9437,1929,28.0,Male,120037.0,785.19,2023-08-13 19:16:58+03:00
9097,1856,23.0,Male,39706.0,718.89,2023-08-13 19:16:58+03:00
3180,656,55.0,Female,106485.0,118.56,2023-08-13 19:16:58+03:00
6891,1419,32.0,Male,96724.0,11.14,2023-08-13 19:16:58+03:00
4221,870,35.0,Male,64680.0,476.94,2023-08-13 19:16:58+03:00
9736,1989,29.0,Male,67085.0,648.92,2023-08-13 19:16:58+03:00
1495,311,22.0,Male,111925.0,1376.17,2023-08-13 19:16:58+03:00
2080,429,41.0,Female,126446.0,1374.55,2023-08-13 19:16:58+03:00
3160,653,58.0,Female,104693.0,156.12,2023-08-13 19:16:58+03:00
9345,1909,35.0,Female,77139.0,649.83,2023-08-13 19:16:58+03:00
1189,245,30.0,Female,98969.0,1190.67,2023-08-13 19:16:58+03:00
4937,1026,29.0,Male,78670.0,322.23,2023-08-13 19:16:58+03:00
959,203,39.0,Male,129228.0,892.47,2023-08-14 19:16:58+03:00
7552,1550,19.0,Female,42027.0,748.58,2023-08-14 19:16:58+03:00
567,125,40.0,Female,102428.0,428.54,2023-08-14 19:16:58+03:00
7565,1555,45.0,Female,112062.0,825.6,2023-08-14 19:16:58+03:00
2323,474,19.0,Female,41990.0,176.32,2023-08-14 19:16:58+03:00
6070,1253,33.0,Female,74291.0,1169.71,2023-08-14 19:16:58+03:00
3267,673,40.0,Female,127562.0,509.16,2023-08-14 19:16:58+03:00
9773,1995,22.0,Male,59115.0,384.31,2023-08-14 19:16:58+03:00
7278,1494,20.0,Male,63445.0,920.56,2023-08-14 19:16:58+03:00
9600,1962,35.0,Female,95218.0,410.72,2023-08-14 19:16:58+03:00
1762,367,19.0,Female,58035.0,13.63,2023-08-14 19:16:58+03:00
6591,1359,21.0,Female,30652.0,301.75,2023-08-14 19:16:58+03:00
6423,1323,29.0,Female,105266.0,796.73,2023-08-14 19:16:58+03:00
4887,1014,33.0,Female,126345.0,598.56,2023-08-14 19:16:58+03:00
3824,787,34.0,Female,85617.0,514.38,2023-08-14 19:16:58+03:00
4954,1028,48.0,Female,128187.0,501.51,2023-08-14 19:16:58+03:00
6890,1419,32.0,Male,96724.0,399.69,2023-08-14 19:16:58+03:00
2976,606,19.0,Female,77842.0,959.67,2023-08-14 19:16:58+03:00
7672,1575,24.0,Female,60274.0,58.76,2023-08-14 19:16:58+03:00
1250,253,73.0,Female,122036.0,617.84,2023-08-14 19:16:58+03:00
8701,1776,33.0,Male,104898.0,423.62,2023-08-14 19:16:58+03:00
9595,1961,40.0,Male,112368.0,1368.89,2023-08-14 19:16:58+03:00
712,153,30.0,Female,1015980.0,937.28,2023-08-14 19:16:58+03:00
7860,1608,37.0,Female,85255.0,770.6,2023-08-14 19:16:58+03:00
2599,534,28.0,Female,101965.0,1079.27,2023-08-14 19:16:58+03:00
1040,215,36.0,Female,111014.0,662.99,2023-08-14 19:16:58+03:00
7140,1462,19.0,Male,63177.0,768.13,2023-08-14 19:16:58+03:00
3628,750,20.0,Female,81559.0,834.28,2023-08-14 19:16:58+03:00
7710,1582,35.0,Female,128257.0,888.8,2023-08-14 19:16:58+03:00
4029,831,24.0,Male,48608.0,859.35,2023-08-14 19:16:58+03:00
7197,1474,40.0,Female,39449.0,333.96,2023-08-14 19:16:58+03:00
3053,630,46.0,Male,129815.0,771.25,2023-08-14 19:16:58+03:00
5345,1110,30.0,Male,73533.0,53.51,2023-08-15 19:16:58+03:00
5578,1155,34.0,Female,90726.0,976.14,2023-08-15 19:16:58+03:00
8344,1701,38.0,Male,121594.0,693.79,2023-08-15 19:16:58+03:00
9457,1932,21.0,Male,39816.0,195.58,2023-08-15 19:16:58+03:00
8775,1792,34.0,Male,71991.0,621.11,2023-08-15 19:16:58+03:00
4041,834,30.0,Female,54233.0,294.17,2023-08-15 19:16:58+03:00
7977,1632,31.0,Female,73421.0,1051.31,2023-08-15 19:16:58+03:00
1890,392,37.0,Male,123701.0,1141.97,2023-08-15 19:16:58+03:00
8438,1719,44.0,Male,121327.0,410.98,2023-08-15 19:16:58+03:00
6375,1316,35.0,Female,72414.0,800.28,2023-08-15 19:16:58+03:00
729,156,58.0,Female,86283.0,974.88,2023-08-15 19:16:58+03:00
7411,1524,53.0,Female,84886.0,995.36,2023-08-15 19:16:58+03:00
4238,872,22.0,Female,41972.0,329.68,2023-08-15 19:16:58+03:00
8889,1812,39.0,Male,120814.0,77.41,2023-08-15 19:16:58+03:00
3552,733,35.0,Female,87791.0,756.7,2023-08-15 19:16:58+03:00
8822,1798,34.0,Male,102000.0,161.04,2023-08-15 19:16:58+03:00
3411,704,37.0,Female,60792.0,607.74,2023-08-15 19:16:58+03:00
4788,991,53.0,Male,115312.0,849.49,2023-08-15 19:16:58+03:00
5971,1236,34.0,Male,74155.0,629.68,2023-08-15 19:16:58+03:00
9212,1879,30.0,Male,94438.0,362.44,2023-08-15 19:16:58+03:00
5246,1089,39.0,Female,118714.0,1182.2,2023-08-15 19:16:58+03:00
329,77,74.0,Female,121510.0,411.19,2023-08-15 19:16:58+03:00
503,111,34.0,Male,107920.0,379.32,2023-08-15 19:16:58+03:00
9444,1929,28.0,Male,120037.0,14.5,2023-08-15 19:16:58+03:00
4464,928,29.0,Female,103104.0,2.68,2023-08-15 19:16:58+03:00
8134,1661,68.0,Female,68597.0,30.04,2023-08-15 19:16:58+03:00
1586,333,31.0,Male,84765.0,940.25,2023-08-15 19:16:58+03:00
1516,318,37.0,Female,68140.0,127.06,2023-08-16 19:16:58+03:00
1919,398,74.0,Female,34321.0,249.05,2023-08-16 19:16:58+03:00
9005,1839,65.0,Female,75945.0,334.8,2023-08-16 19:16:58+03:00
1712,356,37.0,Female,117600.0,593.24,2023-08-16 19:16:58+03:00
7627,1567,27.0,Female,93046.0,416.91,2023-08-16 19:16:58+03:00
2608,535,33.0,Female,117857.0,136.04,2023-08-16 19:16:58+03:00
6495,1340,72.0,Female,43870.0,603.59,2023-08-16 19:16:58+03:00
2293,469,37.0,Male,115774.0,1175.59,2023-08-16 19:16:58+03:00
2130,441,27.0,Female,92398.0,372.51,2023-08-16 19:16:58+03:00
5315,1103,69.0,Female,42659.0,894.05,2023-08-16 19:16:58+03:00
2584,529,26.0,Female,31603.0,193.55,2023-08-16 19:16:58+03:00
8592,1753,38.0,Female,123479.0,57.36,2023-08-16 19:16:58+03:00
7560,1552,69.0,Male,101787.0,623.4,2023-08-16 19:16:58+03:00
2187,450,26.0,Male,81431.0,82.77,2023-08-16 19:16:58+03:00
1342,278,35.0,Male,77507.0,679.95,2023-08-16 19:16:58+03:00
3087,635,33.0,Male,101834.0,3.36,2023-08-16 19:16:58+03:00
3151,652,36.0,Male,123273.0,849.89,2023-08-16 19:16:58+03:00
9062,1850,24.0,Female,61937.0,600.1,2023-08-16 19:16:58+03:00
4186,863,21.0,Male,58795.0,251.58,2023-08-16 19:16:58+03:00
5826,1204,31.0,Female,109023.0,691.68,2023-08-16 19:16:58+03:00
111,25,51.0,Female,92137.0,944.99,2023-08-16 19:16:58+03:00
2923,596,34.0,Female,108629.0,14.9,2023-08-16 19:16:58+03:00
5694,1178,28.0,Female,98240.0,627.19,2023-08-17 19:16:58+03:00
4714,975,30.0,Male,96743.0,564.94,2023-08-17 19:16:58+03:00
6565,1355,22.0,Female,32209.0,379.4,2023-08-17 19:16:58+03:00
6794,1400,24.0,Male,43275.0,788.6,2023-08-17 19:16:58+03:00
2340,477,19.0,Male,43960.0,27.98,2023-08-17 19:16:58+03:00
5853,1210,41.0,Female,122266.0,816.39,2023-08-17 19:16:58+03:00
2566,525,37.0,Male,115689.0,58.98,2023-08-17 19:16:58+03:00
2306,471,35.0,Male,104045.0,1066.78,2023-08-17 19:16:58+03:00
1292,266,19.0,Male,59909.0,104.2,2023-08-17 19:16:58+03:00
3301,681,76.0,Female,48564.0,289.34,2023-08-17 19:16:58+03:00
4030,831,24.0,Male,48608.0,905.97,2023-08-17 19:16:58+03:00
4502,936,31.0,Male,103599.0,1111.25,2023-08-17 19:16:58+03:00
3881,798,28.0,Female,62243.0,986.32,2023-08-17 19:16:58+03:00
1770,368,37.0,Male,123495.0,1057.01,2023-08-17 19:16:58+03:00
1745,362,36.0,Female,108884.0,743.57,2023-08-17 19:16:58+03:00
6981,1436,21.0,Female,119285.0,797.22,2023-08-17 19:16:58+03:00
411,92,36.0,Female,119384.0,162.34,2023-08-17 19:16:58+03:00
362,81,73.0,Female,82103.0,142.07,2023-08-17 19:16:58+03:00
1685,352,46.0,Female,77305.0,879.58,2023-08-17 19:16:58+03:00
9246,1886,34.0,Female,94883.0,932.16,2023-08-17 19:16:58+03:00
581,128,36.0,Female,61387.0,934.63,2023-08-17 19:16:58+03:00
8297,1695,35.0,Male,90852.0,115.33,2023-08-17 19:16:58+03:00
662,145,35.0,Female,99409.0,1163.25,2023-08-17 19:16:58+03:00
7997,1636,27.0,Female,93527.0,398.98,2023-08-17 19:16:58+03:00
2176,448,48.0,Male,123365.0,493.01,2023-08-17 19:16:58+03:00
6275,1300,26.0,Male,54008.0,775.66,2023-08-17 19:16:58+03:00
7098,1456,35.0,Female,92568.0,931.14,2023-08-17 19:16:58+03:00
484,109,37.0,Male,124111.0,263.18,2023-08-17 19:16:58+03:00
2742,564,31.0,Female,108359.0,1010.9,2023-08-17 19:16:58+03:00
6779,1398,29.0,Female,64889.0,544.75,2023-08-17 19:16:58+03:00
8849,1804,33.0,Male,93767.0,674.73,2023-08-17 19:16:58+03:00
3220,664,37.0,Female,81690.0,528.42,2023-08-17 19:16:58+03:00
8071,1650,76.0,Female,61415.0,837.04,2023-08-17 19:16:58+03:00
4715,976,32.0,Female,86211.0,422.07,2023-08-17 19:16:58+03:00
1893,392,37.0,Male,123701.0,32.88,2023-08-18 19:16:58+03:00
2908,593,49.0,Male,110582.0,1283.04,2023-08-18 19:16:58+03:00
2333,476,18.0,Female,51267.0,170.36,2023-08-18 19:16:58+03:00
5868,1212,33.0,Male,58491.0,116.9,2023-08-18 19:16:58+03:00
7697,1578,47.0,Female,115724.0,467.51,2023-08-18 19:16:58+03:00
8456,1723,32.0,Male,84366.0,778.07,2023-08-18 19:16:58+03:00
6019,1244,74.0,Female,57352.0,214.17,2023-08-18 19:16:58+03:00
9069,1851,23.0,Male,75314.0,621.39,2023-08-18 19:16:58+03:00
2555,523,58.0,Male,94591.0,643.97,2023-08-18 19:16:58+03:00
8402,1712,68.0,Female,33385.0,627.83,2023-08-18 19:16:58+03:00
